group_name	mean_cpu_time(us)	mean_wait_time(us)	mean_exec_time(us)
c_25_m_32	271	38408	38680
c_50_m_32	1048	28321	29369
c_75_m_32	3920	30767	34687
c_100_m_32	16790	60383	77173
c_25_m_64	243	3867	4111
c_50_m_64	808	2818	3627
c_75_m_64	3062	10658	13721
c_100_m_64	16268	16129	32397
c_25_m_128	166	6620	6786
c_50_m_128	525	9820	10346
c_75_m_128	3437	5561	8999
c_100_m_128	15650	9791	25442
c_25_m_256	221	960	1182
c_50_m_256	733	3447	4180
c_75_m_256	3256	13552	16808
c_100_m_256	11545	22651	34196
